seed,model,formulation,prediction_type,train_rmse,train_accuracy,train_f1_macro,train_auc_roc_macro,rmse,mae,r2,fit_seconds,predict_seconds,tuning_seconds,accuracy,f1_macro,auc_roc_macro,precision_ruim,recall_ruim,precision_mediano,recall_mediano,precision_bom,recall_bom
42,Baseline Majority Classifier,classification,three_class,,0.43648960739030024,0.20257234726688103,0.5,,,,0.0,0.0,0.0,0.43658724058416604,0.20260388799714643,0.5,0.0,0.0,0.43658724058416604,1.0,0.0,0.0
67,Random Forest Regressor,regression,raw_quality_then_3_class_bins,0.407392782333235,0.8883756735950731,0.8793986408572634,0.9811667856357446,0.6235515335014322,0.475255493904887,0.4917047396389417,17.59893054499844,0.2952715219980746,0.0,0.6940814757878555,0.671394113235357,0.8508918399401056,0.806930693069307,0.6834381551362684,0.6194331983805668,0.8080985915492958,0.7564102564102564,0.4609375
67,KNN Regressor,regression,raw_quality_then_3_class_bins,0.634318319134309,0.6553117782909931,0.6447453184650372,0.8252201099582962,0.6913743473188417,0.5305708895255398,0.37511819419755865,0.0,0.0886435270003858,0.0,0.6087624903920061,0.596728456371867,0.7812658850754405,0.7036144578313253,0.6121593291404612,0.5597014925373134,0.6602112676056338,0.5787037037037037,0.48828125
67,Baseline Mean Regressor,regression,raw_quality_then_3_class_bins,0.8728317208093469,0.43648960739030024,0.20257234726688103,0.5,0.8746098088785572,0.6864276251051036,-1.0197235722486653e-07,0.0,0.0,0.0,0.43658724058416604,0.20260388799714643,0.5,0.0,0.0,0.43658724058416604,1.0,0.0,0.0
67,KNN Classifier,classification,three_class,,0.708044649730562,0.7017353503991846,0.8780932029333391,,,,0.0,0.09501725399968564,0.0,0.6033820138355112,0.596011690137045,0.7802267578381622,0.6611909650924025,0.6750524109014675,0.5694444444444444,0.5774647887323944,0.5672268907563025,0.52734375
67,Softmax Regression,classification,three_class,,0.5579291762894534,0.5537982328412865,0.752777807197392,,,,0.0,0.0001775839991751127,0.0,0.5372790161414297,0.5306471753841895,0.7335914270704186,0.6254681647940075,0.70020964360587,0.5549132947976878,0.3380281690140845,0.41092636579572445,0.67578125
67,Baseline Majority Classifier,classification,three_class,,0.43648960739030024,0.20257234726688103,0.5,,,,0.0,0.0,0.0,0.43658724058416604,0.20260388799714643,0.5,0.0,0.0,0.43658724058416604,1.0,0.0,0.0
101,Random Forest Regressor,regression,raw_quality_then_3_class_bins,0.4083073397968418,0.8899153194765204,0.8812306523243126,0.9807753875907532,0.6235638068633517,0.46949203324611505,0.4916847298955499,17.473664450000797,0.28940182400037884,0.0,0.6994619523443505,0.6682441690421074,0.8596955368514608,0.8446866485013624,0.649895178197065,0.6118665018541409,0.8714788732394366,0.84,0.41015625
101,KNN Regressor,regression,raw_quality_then_3_class_bins,0.6396692883258276,0.649345650500385,0.637715389540274,0.8194822611049791,0.6864318780713826,0.5256795472014534,0.3840205198161245,0.0,0.0861399290006375,0.0,0.6218293620292084,0.6043933593334269,0.7912882014464366,0.7364130434782609,0.5681341719077568,0.5596816976127321,0.7429577464788732,0.6480446927374302,0.453125
101,Baseline Mean Regressor,regression,raw_quality_then_3_class_bins,0.8728317208093469,0.43648960739030024,0.20257234726688103,0.5,0.8746098088785572,0.6864276251051036,-1.0197235722486653e-07,0.0,0.0,0.0,0.43658724058416604,0.20260388799714643,0.5,0.0,0.0,0.43658724058416604,1.0,0.0,0.0
101,KNN Classifier,classification,three_class,,0.7084295612009238,0.699474496455859,0.8771499001788309,,,,0.0,0.09184402599930763,0.0,0.6256725595695619,0.6153729368821151,0.7836702626694597,0.7006802721088435,0.6477987421383647,0.57984496124031,0.6584507042253521,0.6093023255813953,0.51171875
101,Softmax Regression,classification,three_class,,0.5506158583525789,0.545753904998642,0.7487791138608584,,,,0.0,0.00016551199951209128,0.0,0.5503458877786318,0.54453033076378,0.7443447199297824,0.6439688715953308,0.6939203354297694,0.5741239892183289,0.375,0.41346153846153844,0.671875
101,Baseline Majority Classifier,classification,three_class,,0.43648960739030024,0.20257234726688103,0.5,,,,0.0,0.0,0.0,0.43658724058416604,0.20260388799714643,0.5,0.0,0.0,0.43658724058416604,1.0,0.0,0.0
